City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
330,nabire,0,ID,1543352957,95,-3.36,135.5,66.96,1.95
331,bilma,32,NE,1543352957,28,18.69,12.92,59.76,5.75
332,vao,68,EE,1543352958,79,59.1,26.19,28.17,6.76
333,pechenga,44,RU,1543352958,79,58.89,41.46,10.71,6.87
334,elizabeth city,1,US,1543352160,49,36.3,-76.22,50.0,6.93
335,beringovskiy,0,RU,1543352959,100,63.05,179.32,-0.59,20.74
336,asyut,0,EG,1543352959,84,27.18,31.19,51.39,2.62
337,swan river,92,CA,1543352959,88,52.11,-101.27,7.29,4.18
338,kamina,80,CD,1543352960,96,-8.74,25.0,68.04,0.83
339,dolores,88,AR,1543352960,46,-36.31,-57.68,72.63,13.24
340,maningrida,8,AU,1543352960,82,-12.05,134.23,85.36,11.56
341,wajir,12,KE,1543352961,89,1.75,40.07,74.52,6.98
342,kropotkin,92,RU,1543352961,96,45.43,40.58,52.56,17.49
343,moerai,20,PF,1543352961,100,-22.43,-151.33,75.01,10.78
344,egvekinot,56,RU,1543352961,70,66.32,-179.17,0.45,9.44
345,bud,0,NO,1543351800,79,62.91,6.91,33.8,10.29
346,mayumba,32,GA,1543352962,98,-3.44,10.65,78.61,6.2
347,kruisfontein,80,ZA,1543352963,100,-34.0,24.73,56.7,19.06
348,cairns,0,AU,1543350600,62,-16.92,145.77,84.2,5.82
349,mullovka,64,RU,1543348800,85,54.22,49.39,15.8,2.24
350,gamba,0,CN,1543352964,36,28.28,88.52,-8.74,1.39
351,morshansk,8,RU,1543352964,70,53.44,41.81,6.97,2.95
352,portland,75,US,1543351980,77,45.52,-122.67,60.08,10.29
353,changji,8,CN,1543352965,86,32.07,116.17,39.42,3.18
354,amapa,75,HN,1543352400,74,15.09,-87.97,84.2,13.87
355,port elizabeth,90,US,1543352160,54,39.31,-74.98,41.0,13.87
356,buraydah,40,SA,1543348800,87,26.33,43.97,60.8,6.93
